subID,surfaceID,nStrides,StrideRate,TibiaAcc_Propulsion,TibiaAcc_Break,TibiaAcc_Axial,TibiaAcc_Lateral,TibiaAcc_Medial,TibiaAcc_Resultant,HeadAcc_Axial,HeadAcc_Resultant,ShockAtten,ShockAtten_Resultant
P12,gravel,42,86.1538162142857,-10.2382159047619,13.0903528809524,9.0785769047619,2.71466257142857,-4.10255119047619,15.6051538095238,3.29245330952381,3.31663888095238,63.2104429047619,78.5140037857143
P12,paved,39,87.0640741025641,-14.036705025641,17.0990833333333,9.52057930769231,4.39879405128205,-4.17224353846154,19.6347934102564,3.32909561538462,3.35597071794872,64.5898927692308,82.7505961538462
P13,dirt,32,89.78716396875,-5.4849116875,8.02313353125,7.05605890625,4.37622065625,-4.19247684375,10.52640103125,2.43641271875,2.6235106875,64.8449425,74.40839
P13,gravel,43,89.7506965348837,-6.09529420930233,8.62463944186046,7.43924220930233,4.97780074418605,-5.14066906976744,11.4213904418605,2.43724513953488,2.57293455813954,66.5344548372093,76.5943340232558
P13,paved,38,92.8543690263158,-5.74090868421053,8.87722515789474,7.31155605263158,5.81584910526316,-4.99089823684211,11.6873112368421,2.49531502631579,2.64439757894737,65.2173891842105,76.6832898157895
P14,dirt,30,84.1171160333333,-4.247767,7.0703609,9.53020133333333,2.4453615,-3.4608623,10.0301346333333,2.77356513333333,2.95152216666667,70.7682556666667,70.2292822333334
P14,gravel,32,84.98132675,-4.051379875,5.84144884375,10.0457396875,2.6112333125,-3.535593625,10.35229521875,2.91748646875,3.051366375,70.2200788125,69.83614503125
P14,paved,24,88.5578677916667,-5.08184045833333,7.29433325,11.9353007916667,2.91063641666667,-4.40356833333333,12.0883250833333,2.96674445833333,3.15063954166667,75.0985869166667,73.8829538333333
P15,dirt,39,89.8083342564103,-3.56936041025641,4.83909748717949,8.25942141025641,3.24905251282051,-3.77274782051282,9.09917776923077,2.77232920512821,2.95218207692308,65.6684732051282,66.7781335897436
P15,gravel,35,90.1673796857143,-4.19873554285714,5.590558,8.79203674285714,2.86742768571429,-4.47785282857143,9.73006342857143,2.82320905714286,3.00299702857143,66.8667049428572,68.3747449142857
P15,paved,38,91.5890527894737,-3.82645455263158,5.93880036842105,8.49202726315789,2.58646952631579,-3.37530113157895,9.81798113157895,2.76487007894737,2.91496371052632,66.8252087631579,69.4705733947368
P16,dirt,7,88.2538921428572,-4.24117857142857,5.33455942857143,7.53311328571429,1.36862314285714,-1.68018271428571,7.937509,2.92839042857143,3.08741514285714,60.9444317142857,60.8534984285714
P16,gravel,25,87.98731936,-4.08727684,5.34803116,7.96213208,1.57535468,-1.85892296,8.53476092,2.6752734,2.84793496,66.068981,66.2254106
P16,paved,24,87.0816938333334,-4.67076120833333,5.38708195833333,8.303200375,1.425133,-1.629191875,8.69094008333334,2.79520154166667,2.94946229166667,66.1314707916667,65.7651864166667
P17,dirt,22,84.3626470909091,-12.4402611363636,11.3435015,7.09544122727273,3.87332895454545,-6.73780018181818,14.7018079090909,2.91631581818182,3.21545413636364,58.6157907727273,77.5507511363636
P17,gravel,25,83.61358848,-11.59488932,11.70198348,7.4189888,4.38794616,-6.27553472,14.39096084,2.9085326,3.20561328,60.08712796,77.26773544
P17,paved,25,86.79085608,-14.54791928,12.334468,8.21034976,5.76698996,-9.13924424,16.80599388,3.00509296,3.32854208,62.67130584,79.95871268
